id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"Multiminicore disease (MmD) is a congenital myopathy. When associated with external ophthalmoplegia (weakness of the eye muscles), the clinical presentation typically includes: * **External Ophthalmoplegia:** Weakness or paralysis of the muscles that control eye movement, often resulting in limited range of motion of the eyes. * **Ptosis:** Drooping of the upper eyelids. * **Generalized Muscle Weakness:** Often affecting the proximal muscles (shoulders and hips) and the trunk. * **Spinal Rigidity:** Stiffness of the spine, which may lead to a limited range of motion in the neck or back. * **Scoliosis:** Curvature of the spine, which can develop early and progress. * **Respiratory Insufficiency:** Weakness of the respiratory muscles, which may require monitoring or support. Symptoms vary significantly in severity between individuals. If you suspect this condition, please consult a neurologist or a specialist in neuromuscular disorders for a formal evaluation and genetic testing.","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.1127348643006263,0.24634655532359082,0.4125874125874126,0.07042253521126761,0.8100672364234924,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"Fish-eye disease (FED) is a rare, inherited metabolic disorder characterized by a deficiency of the enzyme lecithin-cholesterol acyltransferase (LCAT). The condition is named for the characteristic appearance of the eyes: the corneas become progressively clouded with lipid deposits, resembling the eyes of a boiled fish. This clouding typically begins in adolescence and can lead to impaired vision. Unlike complete LCAT deficiency, which also causes severe kidney disease and anemia, FED primarily affects the eyes. It is caused by mutations in the *LCAT* gene, which leads to abnormal high-density lipoprotein (HDL) metabolism and very low levels of ""good"" cholesterol in the blood. Diagnosis is typically confirmed through genetic testing and blood analysis showing low HDL levels. Management focuses on monitoring vision and, in severe cases, corneal transplantation.","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.17857142857142858,0.375,0.3968253968253968,0.104,0.8633092045783997,What is (are) fish-eye disease ?
0000388-2,"Friedreich ataxia (FA) is a rare, inherited neurodegenerative disorder. It is estimated to affect approximately 1 in 40,000 to 50,000 people in the general population. Because it is an autosomal recessive condition, it is most common in populations of European descent, where the carrier frequency is estimated to be about 1 in 60 to 1 in 100. It is significantly rarer in populations of Asian or African descent. If you are seeking information regarding a specific diagnosis or genetic testing, please consult a neurologist or a genetic counselor for an accurate assessment.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.22580645161290325,0.2741935483870968,0.3695652173913043,0.15384615384615385,0.8965393900871277,How many people are affected by Friedreich ataxia ?
0000013-16,"Creating a family health history involves collecting and documenting information about the medical conditions and health habits of your biological relatives. This process typically includes gathering details about parents, siblings, children, grandparents, aunts, uncles, and cousins. Key information to record includes: * **Diagnosed conditions:** Chronic diseases (e.g., heart disease, diabetes, cancer), mental health disorders, and genetic conditions. * **Age of onset:** The age at which relatives were diagnosed. * **Cause of death:** For deceased relatives, the age and cause of death. * **Ancestry:** Ethnic background, which can influence risk for certain genetic conditions. This record serves as a vital tool for healthcare providers to assess your risk for hereditary diseases, guide screening recommendations, and personalize preventive care. You can organize this information using tools like the Surgeon General’s ""My Family Health Portrait"" or by simply maintaining a written list.","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.11678832116788322,0.22627737226277372,0.3237410071942446,0.028985507246376812,0.8419691324234009,What is (are) Creating a Family Health History ?
0000858-5,"RAPADILINO syndrome is a rare genetic disorder caused by mutations in the *RECQL4* gene. There is no curative treatment; management is supportive and multidisciplinary, focusing on addressing specific clinical features: * **Orthopedic:** Surgical intervention or physical therapy may be required for radial ray defects (absent or hypoplastic thumbs/radii) and patellar hypoplasia. * **Nutritional:** Patients often experience failure to thrive; nutritional support, including high-calorie diets or feeding tubes, may be necessary. * **Dermatological:** Regular skin monitoring is essential, as *RECQL4* disorders are associated with an increased risk of skin malignancies. * **Developmental:** Early intervention services, speech therapy, and educational support are recommended for developmental delays. * **Surveillance:** Regular follow-ups with geneticists, orthopedists, and dermatologists are standard to monitor for complications. Consult a clinical geneticist or a specialized metabolic center for personalized care planning.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.0782122905027933,0.1229050279329609,0.12121212121212122,0.007633587786259542,0.817342221736908,What are the treatments for RAPADILINO syndrome ?
0000883-1,"Buschke-Ollendorff syndrome (BOS) is a rare, inherited genetic disorder characterized by the combination of connective tissue nevi (skin growths) and osteopoikilosis (small, dense spots in the bones). * **Skin findings:** Patients typically develop connective tissue nevi, such as dermatofibromas or elastic tissue nevi, which often appear as firm, skin-colored or yellowish nodules on the trunk or extremities. * **Bone findings:** Osteopoikilosis is usually asymptomatic and discovered incidentally on X-rays as multiple, symmetrical, round or oval sclerotic densities, particularly in the ends of long bones, the pelvis, and the hands. BOS is caused by mutations in the *LEMD3* gene and follows an autosomal dominant inheritance pattern. It is generally considered a benign condition, and most individuals do not experience significant health complications. Diagnosis is typically confirmed through clinical examination and radiographic imaging. You should consult a geneticist or dermatologist for personalized evaluation.","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.1774744027303754,0.28668941979522183,0.36879432624113473,0.1,0.8541397452354431,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"Problems with taste, medically known as **dysgeusia** (distorted taste) or **ageusia** (complete loss of taste), can arise from various factors: * **Infections:** Common colds, flu, sinus infections, or COVID-19 often cause temporary taste loss. * **Medications:** Certain antibiotics, blood pressure drugs, and antihistamines can alter taste. * **Oral Health:** Poor dental hygiene, gum disease, or dry mouth (xerostomia) can affect taste buds. * **Neurological Conditions:** Damage to the nerves responsible for taste (e.g., Bell’s palsy, head injuries, or neurodegenerative diseases). * **Nutritional Deficiencies:** Lack of zinc or vitamin B12. * **Lifestyle Factors:** Smoking or exposure to certain chemicals. * **Aging:** Natural decline in the number and sensitivity of taste buds. If you experience persistent changes in taste, consult a healthcare provider to rule out underlying conditions or medication side effects.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.09329446064139943,0.13994169096209913,0.23846153846153847,0.023255813953488372,0.7964789271354675,What is (are) Problems with Taste ?
0000770-3,"Pantothenate kinase-associated neurodegeneration (PKAN) is caused by mutations in the **PANK2** gene, located on chromosome 20p13. This gene provides instructions for producing the enzyme pantothenate kinase 2, which is essential for the synthesis of coenzyme A (CoA). The condition is inherited in an **autosomal recessive** pattern, meaning an individual must inherit two mutated copies of the gene—one from each parent—to develop the disorder. These genetic mutations lead to a deficiency in pantothenate kinase activity, resulting in impaired CoA production and the subsequent accumulation of cysteine and iron in the basal ganglia of the brain. This iron deposition, often visualized as the ""eye-of-the-tiger"" sign on MRI, is the hallmark of the disease and leads to the progressive neurological symptoms associated with PKAN.","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.24503311258278143,0.3973509933774835,0.5289256198347108,0.16666666666666666,0.8779423832893372,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"Alagille syndrome is a genetic disorder that primarily affects the liver, heart, skeleton, and eyes. Key symptoms include: * **Liver:** Chronic cholestasis (impaired bile flow) leading to jaundice, severe itching (pruritus), and xanthomas (cholesterol deposits in the skin). * **Heart:** Most commonly peripheral pulmonary stenosis (narrowing of the arteries to the lungs) or other structural heart defects. * **Eyes:** Posterior embryotoxon (a visible ring in the eye) is a hallmark sign, though it typically does not affect vision. * **Skeleton:** Butterfly vertebrae (abnormal shape of the spinal bones). * **Facial Features:** A characteristic appearance often including a prominent forehead, deep-set eyes, and a pointed chin. * **Growth/Development:** Failure to thrive or delayed growth due to malabsorption of vitamins. Symptoms vary significantly in severity between individuals. If you suspect this condition, consult a medical geneticist or specialist for evaluation.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.10196987253765932,0.14831981460023175,0.463768115942029,0.1386861313868613,0.8222154974937439,What are the symptoms of Alagille Syndrome ?
0000794-5,"Phosphoglycerate kinase (PGK) deficiency is a rare metabolic disorder that affects glycolysis. There is no curative treatment; management is primarily supportive and tailored to the specific symptoms present: * **Hemolytic Anemia:** Patients may require folic acid supplementation. In severe cases, blood transfusions or splenectomy may be considered, though the latter is rarely indicated. * **Neurological/Myopathic Symptoms:** Management focuses on addressing specific complications, such as seizures or muscle weakness, through physical therapy and appropriate neurological care. * **Avoidance of Triggers:** Patients are generally advised to avoid known triggers that may exacerbate hemolysis, such as certain medications or infections. Because the condition is rare and clinical presentation varies significantly, treatment should be managed by a multidisciplinary team, including hematologists and neurologists. Genetic counseling is recommended for affected families.",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.09183673469387756,0.15306122448979592,0.15873015873015872,0.016,0.8267405033111572,What are the treatments for phosphoglycerate kinase deficiency ?
