id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"Minicore myopathy with external ophthalmoplegia (often described as a form of congenital myopathy) typically causes: - **Eye movement problems (external ophthalmoplegia):** limited movement of the eyes outward/upward/downward, often with **ptosis** (drooping eyelids). Vision is usually not the primary issue. - **Muscle weakness from early life:** usually **proximal** (hips/shoulders), with difficulties **walking, climbing stairs, rising from a chair**, or performing overhead activities. - **Low muscle tone** (hypotonia) and **delayed motor milestones** in childhood. - **Facial or bulbar involvement** can occur in some cases, but this is variable. - **Orthopedic complications** may develop due to weakness (e.g., contractures or scoliosis). If you tell me the person’s age and specific symptoms, I can help map them to what’s typical for this condition.","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.10549450549450548,0.21978021978021978,0.453781512605042,0.06779661016949153,0.813554584980011,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"“Fish-eye disease” usually refers to **lateral-line disease in aquariums (fish)**—a condition where fish develop small dark lesions or pale spots along the body, often resembling “eyes” or “targets.” It’s typically caused by **infectious agents (commonly bacteria)** and/or **poor water quality**, and is seen especially in stressed fish. In humans, the phrase is also sometimes (less commonly) used to mean **“colobomatous/retinal eye disorders”** that can look like “eye-like” spots, but this is not a standard medical term. If you tell me whether you mean **fish** or a **human medical condition**, I can give a more accurate description and typical causes.","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.11167512690355329,0.22335025380710657,0.25252525252525254,0.0,0.8291906118392944,What is (are) fish-eye disease ?
0000388-2,"Friedreich ataxia is rare, affecting about **1 in 40,000 to 1 in 50,000 people** in many populations of European ancestry. That translates to roughly **2 to 3 people per 100,000**. It is **less common in other ethnic groups**, so exact numbers vary by region and ancestry. If you want, I can also explain **how it is inherited** or **the typical age of onset**.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.2736842105263158,0.35789473684210527,0.3492063492063492,0.12903225806451613,0.8903055787086487,How many people are affected by Friedreich ataxia ?
0000013-16,"Creating a Family Health History means gathering information about health conditions, diseases, and relevant risk factors that run in your family. Typically, you record who in your family had which conditions, at what age they were diagnosed (e.g., heart disease, cancer, diabetes, stroke, genetic disorders), along with ages at death and any major causes of death. It often includes both maternal and paternal relatives, usually covering at least 2–3 generations. This helps clinicians assess your inherited risk, guide preventive screening and lifestyle recommendations, and identify when genetic counseling or testing may be appropriate. You can start by talking with relatives and using family records, then organize the information in a chart or questionnaire.","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.12903225806451613,0.2741935483870968,0.3805309734513274,0.03571428571428571,0.8546789288520813,What is (are) Creating a Family Health History ?
0000858-5,"RAPADILINO syndrome (a rare congenital disorder) has **no single cure**; treatment is **supportive and symptom-directed**. Common approaches include: - **Orthopedic care:** monitoring and treating limb malformations, contractures, gait problems; physical therapy/occupational therapy; sometimes bracing or surgery. - **Spine management:** evaluation for scoliosis/vertebral anomalies; observation, bracing, or surgery when needed. - **Hand/foot function:** hand therapy, splinting, and corrective procedures if indicated. - **Skin and wound care:** manage eczema/skin issues or ulcers if present. - **Hearing/ENT and vision screening:** treat associated issues such as hearing loss if found; glasses/eye care as needed. - **Developmental support:** early intervention therapies for motor and speech delays. - **Regular multidisciplinary follow-up:** typically with genetics, orthopedics, rehab, and other relevant specialties. Specific treatment depends on each person’s findings. If you share the main symptoms (e.g., limb/spine/skin/hearing), I can outline more targeted options.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.10989010989010989,0.15384615384615383,0.16296296296296298,0.007462686567164179,0.814058780670166,What are the treatments for RAPADILINO syndrome ?
0000883-1,"Buschke–Ollendorff syndrome (BOS) is a rare inherited condition (most often due to **LEMD3** mutations) characterized by a combination of: - **Multiple “dermal elastotic” connective tissue nevi** (typically benign, raised skin lesions such as *elastotic nevi* or connective tissue nevi) - **Benign bone lesions**, most commonly **osteopoikilosis** (numerous small areas of increased bone density) and sometimes **sclerotic lesions** in other patterns It is usually **benign**, and many people have **no symptoms**, though some may experience mild joint discomfort or related issues. Diagnosis is typically based on the skin findings plus imaging (plain X-ray or other bone imaging).","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.1532258064516129,0.2741935483870968,0.3854166666666667,0.08421052631578947,0.8440291881561279,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"“Problems with taste” are called **taste disorders**. The main types are: - **Ageusia:** complete loss of taste - **Hypogeusia:** reduced sense of taste - **Dysgeusia:** distorted or unpleasant taste (often metallic, bitter, or “off” tastes) - **Phantogeusia:** perceiving tastes that aren’t really present **Common causes include:** - **Mouth/throat issues:** dry mouth (saliva problems), infections, gum disease, mouth sores - **Upper respiratory infections** or sinus problems - **Medications:** some antibiotics, antidepressants, blood pressure medicines, and others - **Nerve problems:** after injury, stroke, or certain neurologic conditions - **Smoking**, heavy alcohol use, or poor oral hygiene - **Nutrient deficiencies:** especially **zinc** - **Head/neck conditions** or cancer treatments (e.g., radiation) If this started suddenly, lasts >2–3 weeks, or is paired with **numbness, weakness, facial droop, severe headache, or trouble swallowing**, seek medical care urgently.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.09883720930232559,0.11046511627906977,0.22137404580152673,0.023076923076923078,0.793451189994812,What is (are) Problems with Taste ?
0000770-3,"Pantothenate kinase–associated neurodegeneration (PKAN), a form of NBIA, is most commonly caused by **biallelic (both copies) loss-of-function variants in the *PANK2* gene**. These genetic changes impair **pantothenate kinase 2**, disrupting coenzyme A biosynthesis and leading to the characteristic neurodegeneration and brain iron accumulation. Less commonly, NBIA cases that resemble PKAN may be due to variants in other genes (e.g., ***PLA2G6* in PLAN**), but **classic PKAN is specifically linked to *PANK2***. If you tell me whether you mean “classic PKAN” vs “PKAN-like NBIA,” I can tailor the answer.","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.13432835820895522,0.1791044776119403,0.27586206896551724,0.03488372093023256,0.8466916680335999,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"Alagille syndrome can affect several organs, so symptoms vary. Common signs include: - **Liver/bile duct problems:** yellowing of the skin/eyes (**jaundice**), **itching**, pale stools, dark urine, poor growth - **Heart defects:** a heart murmur, breathing trouble, or poor exercise tolerance - **Distinct facial features:** broad forehead, deep-set eyes, straight nose, pointed chin - **Eye findings:** an eye abnormality found on exam, sometimes vision issues - **Skeletal changes:** a **butterfly-shaped vertebrae** or other bone findings - **Kidney problems:** abnormal kidney function or structure - **Spine/other features:** short stature, delayed puberty, or fat-soluble vitamin deficiencies Symptoms can be mild or severe, even within the same family. If you suspect Alagille syndrome, a doctor can evaluate it with exam, blood tests, and genetic testing.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.07328605200945626,0.12056737588652483,0.45454545454545453,0.1,0.8176761865615845,What are the symptoms of Alagille Syndrome ?
0000794-5,"Phosphoglycerate kinase (PGK) deficiency (a rare X-linked glycolytic disorder) is treated **supportively**, because there’s no widely established curative therapy. **Main treatments** - **Dietary management:** Often involves **high-calorie intake** and diets that can reduce reliance on glycolysis (commonly **high fat/low carbohydrate** in some patients) under specialist supervision. - **Avoid triggers:** **Exercise avoidance/limiting strenuous activity**, treating illness promptly, and preventing **fasting** and other metabolic stressors that can precipitate hemolysis/rhabdomyolysis. - **Manage hemolysis/rhabdomyolysis:** During attacks, clinicians use **IV fluids** to protect kidneys and support recovery; treat anemia as needed (e.g., transfusion). - **Supplements/medications:** **Folate** may be used for anemia; other therapies are case-dependent. - **Supportive care:** Monitoring kidney function, hemoglobin, and CK levels; genetic counseling. **Care should be coordinated with a metabolic specialist.**",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.11578947368421051,0.1368421052631579,0.14166666666666666,0.008403361344537815,0.8132542371749878,What are the treatments for phosphoglycerate kinase deficiency ?
