id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"Multiminicore disease (MmD) is a congenital myopathy. When associated with external ophthalmoplegia (weakness of the eye muscles), the clinical presentation typically includes: * **Ophthalmoplegia:** Weakness or paralysis of the muscles that control eye movement, often resulting in ptosis (drooping eyelids). * **Muscle Weakness:** Generalized or proximal muscle weakness, often affecting the trunk and limbs. * **Spinal Rigidity:** Stiffness of the spine, which may lead to restricted neck flexion or scoliosis. * **Respiratory Involvement:** Potential for respiratory muscle weakness, which can lead to breathing difficulties. * **Joint Contractures:** Tightness in joints, such as the ankles or elbows. The severity and combination of these symptoms can vary significantly between individuals. If you suspect this condition, it is essential to consult a neurologist or a specialist in neuromuscular disorders for a formal evaluation and genetic testing.","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.10660980810234541,0.2260127931769723,0.42105263157894735,0.045454545454545456,0.8105689883232117,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"Fish-eye disease (FED) is a rare, inherited metabolic disorder characterized by a deficiency of the enzyme lecithin-cholesterol acyltransferase (LCAT). This enzyme is responsible for converting free cholesterol into cholesteryl esters in the bloodstream. In FED, the partial deficiency of LCAT leads to the accumulation of cholesterol esters in the cornea, causing it to become cloudy or opaque, which resembles the appearance of a boiled fish eye. Unlike complete LCAT deficiency, FED typically does not cause severe kidney failure or anemia. Symptoms primarily involve progressive corneal opacification, which can lead to blurred vision. Diagnosis is confirmed through genetic testing and blood tests showing low levels of high-density lipoprotein (HDL) cholesterol. Treatment is generally supportive, focusing on managing vision issues, as there is no cure for the underlying metabolic defect.","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.18584070796460175,0.35398230088495575,0.375,0.07086614173228346,0.8551990389823914,What is (are) fish-eye disease ?
0000388-2,"Friedreich ataxia (FRDA) is a rare, inherited neurodegenerative disorder. It is estimated to affect approximately 1 in 40,000 to 50,000 people in the general population. Because it is an autosomal recessive condition, it is more common in populations of European descent, where the carrier frequency is estimated to be about 1 in 60 to 1 in 100. The prevalence can vary significantly based on geographic region and ethnic background. It is considered the most common inherited ataxia.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.2568807339449541,0.29357798165137616,0.38961038961038963,0.18421052631578946,0.8981500267982483,How many people are affected by Friedreich ataxia ?
0000013-16,"Creating a family health history involves collecting information about the medical conditions and health habits of your biological relatives (parents, siblings, children, grandparents, aunts, and uncles). This process helps identify patterns of disease that may run in your family, such as heart disease, cancer, diabetes, or genetic disorders. By documenting these conditions, ages of onset, and causes of death, you and your healthcare provider can better assess your personal risk for certain illnesses. This information allows for more personalized preventive care, earlier screenings, and informed lifestyle choices. To create one, talk to family members, review medical records, and use standardized tools like the Surgeon General’s ""My Family Health Portrait"" website to organize the data. Always share this information with your doctor during your next visit.","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.13846153846153847,0.30000000000000004,0.424,0.03225806451612903,0.8584633469581604,What is (are) Creating a Family Health History ?
0000858-5,"RAPADILINO syndrome is a rare genetic disorder caused by mutations in the *RECQL4* gene. There is no curative treatment; management is strictly supportive and multidisciplinary, tailored to the specific symptoms present in each individual. Key management strategies include: * **Orthopedic care:** Surgical intervention or physical therapy for radial ray defects (e.g., absent or hypoplastic thumbs/radii) and patellar hypoplasia. * **Nutritional support:** Monitoring for failure to thrive and addressing feeding difficulties, which are common in infancy. * **Endocrinology:** Monitoring for growth hormone deficiency or other endocrine abnormalities. * **Surveillance:** Regular clinical follow-up to monitor for potential complications, including an increased risk of osteosarcoma associated with *RECQL4* mutations. Patients should be managed by a team of specialists, including geneticists, orthopedists, pediatricians, and nutritionists. Genetic counseling is recommended for affected families.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.10285714285714286,0.17142857142857143,0.1484375,0.015748031496062992,0.8187391757965088,What are the treatments for RAPADILINO syndrome ?
0000883-1,"Buschke-Ollendorff syndrome (BOS) is a rare, inherited genetic disorder characterized by the combination of connective tissue nevi (skin growths) and osteopoikilosis (small, dense spots in the bones). * **Skin findings:** Patients typically develop firm, yellowish, or skin-colored nodules (dermatofibrosis lenticularis) on the trunk, buttocks, or extremities. These are usually benign and asymptomatic. * **Bone findings:** Osteopoikilosis appears as multiple, round, sclerotic (dense) spots on X-rays, most commonly in the ends of long bones, the pelvis, and the hands. These are typically incidental findings and do not cause pain or functional impairment. BOS is caused by mutations in the *LEMD3* gene and follows an autosomal dominant inheritance pattern. It is generally considered a benign condition, and treatment is usually unnecessary unless the skin lesions are cosmetically bothersome. You should consult a geneticist or dermatologist for a formal diagnosis and evaluation.","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.18556701030927836,0.3024054982817869,0.38848920863309355,0.10869565217391304,0.85260009765625,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"Problems with taste, medically known as **dysgeusia** (distorted taste) or **ageusia** (complete loss of taste), can arise from various factors: * **Upper Respiratory Issues:** Common colds, sinus infections, allergies, or nasal polyps often obstruct the sense of smell, which is closely linked to taste. * **Medications:** Certain antibiotics, blood pressure medications, and antidepressants can alter taste perception. * **Oral Health:** Poor dental hygiene, gum disease, or dry mouth (xerostomia) can affect taste buds. * **Nutritional Deficiencies:** Lack of zinc or vitamin B12. * **Neurological Conditions:** Head injuries, nerve damage, or conditions like Parkinson’s or Alzheimer’s disease. * **Lifestyle Factors:** Smoking or exposure to certain chemicals. * **Systemic Illness:** Diabetes, thyroid issues, or recent viral infections (including COVID-19). If you experience persistent changes in taste, consult a healthcare provider to identify the underlying cause and appropriate treatment.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.07449856733524354,0.13180515759312322,0.22794117647058823,0.014814814814814815,0.8030642867088318,What is (are) Problems with Taste ?
0000770-3,"Pantothenate kinase-associated neurodegeneration (PKAN) is caused by mutations in the **PANK2** gene, located on chromosome 20p13. This gene provides instructions for producing the enzyme pantothenate kinase 2, which is essential for the synthesis of coenzyme A (CoA). PKAN is inherited in an **autosomal recessive** pattern, meaning an individual must inherit two mutated copies of the gene—one from each parent—to develop the condition. These mutations lead to a deficiency in pantothenate kinase activity, resulting in impaired CoA production and the subsequent accumulation of iron in the basal ganglia of the brain. This iron deposition is the hallmark of the disease and is responsible for the progressive neurological symptoms associated with PKAN.","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.24742268041237112,0.37800687285223367,0.5454545454545454,0.1834862385321101,0.8808199167251587,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"Alagille syndrome is a genetic disorder that primarily affects the liver, heart, skeleton, and eyes. Key symptoms include: * **Liver:** Chronic cholestasis (impaired bile flow) leading to jaundice, severe itching (pruritus), and xanthomas (cholesterol deposits in the skin). * **Heart:** Most commonly peripheral pulmonary stenosis (narrowing of the arteries leading to the lungs) or other structural heart defects. * **Eyes:** Posterior embryotoxon (a visible ring in the anterior chamber of the eye), which is present in most patients but does not affect vision. * **Skeleton:** Butterfly vertebrae (abnormal shape of the spinal bones), which are typically asymptomatic. * **Facial Features:** A characteristic appearance often including a prominent forehead, deep-set eyes, and a pointed chin. * **Growth/Development:** Failure to thrive or delayed growth due to malabsorption of fat-soluble vitamins. Consult a medical professional for diagnosis and management.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.10220673635307781,0.148664343786295,0.47794117647058826,0.14814814814814814,0.8201209306716919,What are the symptoms of Alagille Syndrome ?
0000794-5,"Phosphoglycerate kinase (PGK) deficiency is a rare metabolic disorder that affects glycolysis. There is no curative treatment; management is primarily supportive and tailored to the specific clinical presentation: * **Hemolytic Anemia:** Patients may require folic acid supplementation. In severe cases, blood transfusions or splenectomy may be considered, though the latter is rarely indicated. * **Neurological/Myopathic Symptoms:** Management focuses on symptom control. Physical therapy may be used for muscle weakness or cramps. * **Avoidance of Triggers:** Patients are generally advised to avoid known triggers of hemolysis, such as certain medications or infections, if applicable. Because the condition is rare and symptoms vary significantly between individuals, treatment should be managed by a specialist, such as a hematologist or metabolic geneticist. Genetic counseling is recommended for affected families.",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.0923076923076923,0.1641025641025641,0.168,0.016129032258064516,0.8261762261390686,What are the treatments for phosphoglycerate kinase deficiency ?
