id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"**Minicore myopathy with external ophthalmoplegia (multi-minicore disease subtype)** is a rare congenital myopathy characterized by: - **Ophthalmoplegia**: Weakness or paralysis of eye muscles, causing limited eye movement, ptosis (drooping eyelids), and double vision. - **Muscle weakness**: Proximal (shoulders, hips) > distal; axial weakness; may include respiratory muscle involvement leading to breathing difficulties. - **Other features**: Hypotonia (low muscle tone) from infancy, delayed motor milestones, scoliosis, joint contractures, and fatigue with exercise. Symptoms vary in severity; some have normal cognition. Diagnosis via muscle biopsy (minicore lesions), genetic testing (e.g., SELENON, RYR1 mutations). Consult a neurologist for evaluation. (78 words)","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.07834101382488479,0.16129032258064516,0.35714285714285715,0.030927835051546393,0.8142895102500916,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"Fish-eye disease (FED), also known as partial lecithin-cholesterol acyltransferase (LCAT) deficiency, is a rare autosomal recessive genetic disorder. It impairs LCAT enzyme function, leading to accumulation of unesterified cholesterol in corneas (causing fish-eye-like opacities and visual impairment) and low HDL cholesterol levels. Patients often have milky plasma due to lipid-laden lipoproteins. It's typically asymptomatic beyond corneal clouding but increases cardiovascular risk. Diagnosis via genetic testing or LCAT activity assays; no specific cure, managed with lipid-lowering therapy.","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.14942528735632185,0.2413793103448276,0.2894736842105263,0.04,0.8475784659385681,What is (are) fish-eye disease ?
0000388-2,"Friedreich ataxia has a prevalence of approximately 1 in 40,000–50,000 people, primarily in individuals of European descent. It affects fewer than 5,000 people in the United States.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.23728813559322032,0.2711864406779661,0.2962962962962963,0.07692307692307693,0.9270280003547668,How many people are affected by Friedreich ataxia ?
0000013-16,"Creating a family health history involves compiling a record of health conditions, diseases, and risk factors that affect you and your blood relatives (parents, siblings, grandparents, aunts/uncles, cousins). **Key steps:** - Gather info on major illnesses (e.g., cancer, heart disease, diabetes, stroke), age of onset, cause of death. - Use a family tree diagram or tools like the CDC's My Family Health Portrait. - Include ethnic background and genetic conditions. This helps identify inherited risks, guide screening, and inform preventive care. Consult a healthcare provider to interpret it. (78 words)","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.09777777777777778,0.17777777777777776,0.3111111111111111,0.011235955056179775,0.8392357230186462,What is (are) Creating a Family Health History ?
0000858-5,"RAPADILINO syndrome is a rare genetic disorder caused by mutations in the RECQL4 gene, characterized by radial ray defects, anemia, and other features. There is **no cure**; treatment is symptomatic and supportive: - **Anemia**: Blood transfusions or iron supplementation if needed. - **Skeletal malformations**: Orthopedic interventions (e.g., surgery for limb defects), physical/occupational therapy. - **Growth delays**: Nutritional support, growth hormone if indicated. - **Gastrointestinal issues**: Dietary management or surgery for malrotation. - **Cancer surveillance**: Regular screening due to increased risk of osteosarcoma or skin cancers. Multidisciplinary care involving geneticists, orthopedists, hematologists, and nutritionists is essential. Genetic counseling is recommended for families. Consult a specialist for individualized management.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.14285714285714285,0.23376623376623373,0.205607476635514,0.018867924528301886,0.8187776207923889,What are the treatments for RAPADILINO syndrome ?
0000883-1,"**Buschke-Ollendorff syndrome** is a rare autosomal dominant genetic disorder characterized by: - **Skin lesions**: Multiple small, firm, yellowish papules (dermatofibrosis lenticularis protuberans) on the trunk and extremities. - **Bone abnormalities**: Osteopoikilosis, seen on X-rays as multiple small, round sclerotic foci in bones, especially carpal/tarsal and long bones. It results from mutations in the *LEMD3* gene, disrupting connective tissue. Most cases are asymptomatic and benign, requiring no treatment beyond monitoring. Diagnosis is clinical and radiographic; genetic testing confirms. Associated rarely with other connective tissue issues.","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.1271186440677966,0.21186440677966104,0.3333333333333333,0.07228915662650602,0.8410384654998779,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"**Problems with Taste (Dysgeusia/Ageusia)** refer to altered or absent sense of taste, medically termed dysgeusia (distorted taste) or ageusia (complete loss). **Common Causes:** - Upper respiratory infections (e.g., colds, COVID-19) - Medications (e.g., antibiotics, chemotherapy) - Dental/oral issues (e.g., gingivitis, dry mouth) - Nutritional deficiencies (e.g., zinc, vitamin B12) - Neurological conditions (e.g., Bell's palsy, head injury) - Aging or smoking **Evaluation:** History, exam, possible blood tests, imaging, or referral to ENT/specialist. **Management:** Treat underlying cause; zinc supplements if deficient; good oral hygiene. Consult a physician for persistent symptoms.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.07284768211920531,0.09933774834437087,0.19101123595505617,0.011363636363636364,0.795434832572937,What is (are) Problems with Taste ?
0000770-3,"**Pantothenate kinase-associated neurodegeneration (PKAN)**, the most common form of neurodegeneration with brain iron accumulation (NBIA), is primarily caused by **biallelic pathogenic variants in the PANK2 gene** on chromosome 20p13. - **PANK2** encodes pantothenate kinase 2, a mitochondrial enzyme critical for coenzyme A biosynthesis. Loss-of-function mutations disrupt this pathway, leading to iron accumulation in the basal ganglia (especially globus pallidus) and the classic ""eye-of-the-tiger"" sign on MRI. - Over 200 mutations identified, including missense (e.g., c.628G>A, p.Gly210Arg), nonsense, frameshift, and deletions. - Inheritance: Autosomal recessive. - Rare atypical cases may involve other genes (e.g., PLA2G6, C19orf12), but PANK2 accounts for ~50% of NBIA. Diagnosis confirmed by genetic testing. (Source: OMIM #234200; Genetics Home Reference.)","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.13605442176870747,0.19727891156462588,0.26548672566371684,0.044642857142857144,0.8444423079490662,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"Alagille syndrome is a genetic disorder primarily affecting the liver, heart, and other organs. Common symptoms include: - **Liver**: Prolonged neonatal jaundice, cholestasis (pale stools, dark urine), intense itching (pruritus), xanthomas (cholesterol deposits on skin). - **Heart**: Peripheral pulmonary artery stenosis, often causing a heart murmur. - **Facial features**: Broad forehead, deep-set eyes, small pointed chin, bulbous nose tip. - **Growth**: Failure to thrive, short stature. - **Other**: Butterfly-shaped vertebrae, posterior embryotoxon (eye abnormality), kidney issues, high cholesterol. Symptoms vary; diagnosis requires genetic testing or liver biopsy. Consult a specialist for evaluation.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.05630354957160344,0.08812729498164015,0.41304347826086957,0.0989010989010989,0.8162588477134705,What are the symptoms of Alagille Syndrome ?
0000794-5,"**Phosphoglycerate kinase (PGK) deficiency** is a rare X-linked glycolytic enzymopathy causing hemolytic anemia, myopathy, and neurological issues (e.g., seizures, intellectual disability). **No curative treatment** exists; management is supportive: - **Anemia**: Blood transfusions for severe hemolytic episodes; avoid splenectomy due to infection risk. - **Neurological symptoms**: Anticonvulsants (e.g., valproate, levetiracetam) for seizures; physical/occupational therapy. - **Myopathy**: Avoid intense exercise; supportive care for rhabdomyolysis. - **General**: Folic acid supplementation; monitor for exercise-induced crises; genetic counseling. Rare cases report partial response to anabolic steroids or galactose supplementation, but evidence is limited. Enzyme replacement or gene therapy are experimental/not standard. Consult hematology/genetics specialist. (78 words)",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.0935672514619883,0.1286549707602339,0.1188118811881188,0.0,0.812527596950531,What are the treatments for phosphoglycerate kinase deficiency ?
