id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"Minicore myopathy with external ophthalmoplegia (also called a form of “minicore” congenital myopathy) typically causes: - **Slowly progressive muscle weakness**, often beginning in childhood - **Ocular (eye) involvement:** **external ophthalmoplegia**—limited movement of the eyes outward/upward/downward (often with ptosis/“droopy” eyelids) while eye strength can be otherwise relatively spared - **Facial and bulbar weakness** may occur in some people (e.g., difficulty with swallowing or speaking) - **Proximal limb weakness** (hips/shoulders), affecting walking, climbing stairs, or getting up from a chair - **Possible mild skeletal muscle changes** on exam (reduced reflexes can occur) - **Sometimes respiratory weakness**, especially in more severe cases If you tell me the age of the patient and which symptoms are present, I can help you map them to typical features.","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.09606986899563319,0.20524017467248906,0.4098360655737705,0.05785123966942149,0.8126189708709717,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"“Fish-eye disease” is a common name that refers to **ringed (fish-eye–like) lesions** seen in the eye due to different conditions—most notably: - **Stargardt disease (juvenile macular degeneration)**: causes **yellow-white “fish-eye” spots** at the retina, leading to **central vision loss** in childhood or early adulthood. - **“Fish-eye” lesions in ocular toxoplasmosis** (also called **tissue toxoplasmosis**): can produce similar retinal scars, usually with inflammation and blurred vision. Clinically, the term isn’t one single diagnosis—it describes a **pattern of retinal findings**. If you tell me the age of the person and any symptoms/tests (e.g., retinal exam, OCT, diagnosis given by an eye doctor), I can explain what it most likely refers to.","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.15458937198067632,0.26086956521739124,0.25688073394495414,0.037037037037037035,0.8329206109046936,What is (are) fish-eye disease ?
0000388-2,"Friedreich ataxia is rare. In the United States and Europe, it affects roughly **1 in 20,000 to 1 in 50,000 people**. That means there are **thousands of affected people** in larger populations, but exact numbers vary by country and ancestry. It is usually inherited in an **autosomal recessive** pattern, so the condition can appear in families even when parents do not have symptoms. If you want, I can also give you the **global prevalence** or explain **who is most at risk**.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.19469026548672566,0.24778761061946905,0.2222222222222222,0.0625,0.8735995888710022,How many people are affected by Friedreich ataxia ?
0000013-16,"Creating a **family health history** means **collecting health information about relatives**—often including parents, siblings, and grandparents—to identify patterns of disease risk that may run in families. It usually includes: - **Who** had which condition (e.g., diabetes, heart disease, cancer, stroke) - **At what age** they were diagnosed (if known) - **Cause of death** (if applicable) - **Other important factors** (e.g., miscarriages, birth defects, genetic conditions) Typically you do this by talking with relatives and reviewing records. The goal is to help **healthcare providers assess risk**, guide screening, and sometimes suggest **genetic counseling** when appropriate.","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.10480349344978165,0.20087336244541484,0.2765957446808511,0.043010752688172046,0.832545816898346,What is (are) Creating a Family Health History ?
0000858-5,"RAPADILINO syndrome is rare, so treatment is usually **symptom-based** and managed by a multidisciplinary team. Common approaches include: - **Regular monitoring**: growth/development, kidney (if affected), blood counts, and overall organ function. - **Hematologic support** (if cytopenias occur): blood transfusions and/or specialist-directed therapies as needed. - **Surveillance and treatment of skeletal issues**: orthopedic care, physical therapy, and pain management. - **Hearing/vision care**: audiology and ophthalmology follow-up; assistive devices if needed. - **Skin/nail care**: dermatologist-directed treatments for any characteristic findings. - **Severe complications** (e.g., organ dysfunction, recurrent infections): supportive care and treatment of specific complications. There is **no single cure** in most cases; management focuses on preventing complications and improving function. If you share the patient’s symptoms/age, I can outline what’s typically targeted.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.11904761904761903,0.17857142857142858,0.1652892561983471,0.008333333333333333,0.8136871457099915,What are the treatments for RAPADILINO syndrome ?
0000883-1,"Buschke–Ollendorff syndrome (BOS) is a rare, inherited connective-tissue disorder (most often autosomal dominant) characterized by two main features: 1) **Skin findings:** benign connective-tissue growths called **dermatofibrosis lenticularis disseminata** (typically small, firm, skin-colored to reddish-brown papules). 2) **Bone findings:** **osteopoikilosis** (multiple areas of increased bone density) seen on X‑rays, usually without serious symptoms. BOS is commonly caused by variants in the **LEMD3** gene (a bone/skin development pathway). People often have few or no symptoms, and management is usually supportive—focused on diagnosis, monitoring, and ruling out related conditions if needed. If you tell me the symptoms or test results (e.g., skin lesions or X‑ray report), I can help interpret what they suggest.","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.15267175572519082,0.25190839694656486,0.33636363636363636,0.08256880733944955,0.8548234701156616,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"“Problems with taste” usually refers to **taste disorders**, where taste is reduced, altered, or perceived incorrectly. Common problems include: - **Dysgeusia:** distorted or unpleasant taste (e.g., metallic/bitter). - **Hypogeusia:** reduced taste ability. - **Ageusia:** complete loss of taste. - **Phantogeusia:** taste sensations without a real cause (rare). - **Parageusia:** taste perceived incorrectly when eating. Possible underlying causes can include **upper respiratory infections, smoking, dry mouth (medications), dental problems, oral infections, vitamin/mineral deficiencies (e.g., zinc), reflux, head/neck injury, neurologic conditions, and medication side effects**. If the issue is **new, persistent (over 2–4 weeks), painful, associated with numbness/weakness, or accompanied by weight loss**, it should be evaluated by a clinician or dentist. If you tell me your age and how long this has been happening, I can help narrow likely causes.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.10526315789473684,0.17543859649122806,0.26356589147286824,0.0078125,0.8047469258308411,What is (are) Problems with Taste ?
0000770-3,"Pantothenate kinase–associated neurodegeneration (PKAN; a form of NBIA) is most commonly caused by **biallelic mutations in the _PANK2_ gene**. These mutations lead to dysfunction of the pantothenate kinase pathway and abnormal iron handling in the brain. There are **rare NBIA subtypes** with similar names/phenotypes that involve other genes (e.g., **_C19orf12_** for neuroferritinopathy, **_FA2H_** for FAHN), but **PKAN specifically is _PANK2_-related**. If you meant a particular subtype (classic vs atypical) or a specific patient’s result, share the gene/test report details and I can help interpret what the genetic finding means.","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.1333333333333333,0.22222222222222224,0.33707865168539325,0.06818181818181818,0.8347629904747009,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"Alagille syndrome can affect the liver, heart, skeleton, eyes, face, and kidneys. Common symptoms/signs include: - **Jaundice**: yellow skin or eyes, especially in infancy - **Itching**: often from bile buildup - **Pale stools** and **dark urine** - **Poor growth** or trouble gaining weight - **Fatigue** Other possible findings: - **Heart problems**: especially a heart murmur or congenital heart disease - **Eye findings**: abnormal changes seen on eye exam - **Skeletal features**: particularly butterfly-shaped vertebrae - **Distinct facial features** - **Kidney problems** Severity varies a lot, even within the same family. If you’re asking because of symptoms in a child, a pediatrician or genetic specialist should evaluate them.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.0625,0.10817307692307693,0.4953271028037383,0.07547169811320754,0.8170706033706665,What are the symptoms of Alagille Syndrome ?
0000794-5,"Phosphoglycerate kinase (PGK) deficiency (a rare X‑linked glycolytic disorder) currently has **no specific cure**. Treatment is supportive and aimed at preventing complications from muscle breakdown and hemolysis. **Main approaches:** - **Avoid triggers** that provoke rhabdomyolysis/hemolysis: strenuous exercise, fasting, intercurrent illness/dehydration. - **Carbohydrate support**: avoid prolonged fasting; some patients benefit from scheduled carbs during illness or exercise. - **Hydration** to reduce kidney injury risk during rhabdomyolysis. - **Treat acute episodes**: prompt management of rhabdomyolysis/hemolysis (fluids, monitoring electrolytes/kidney function), and supportive care for anemia. - **Folate** may be used in some settings if anemia/hemolysis is significant. - **Routinely monitor** CK, hemoglobin, and renal function; manage complications (e.g., iron overload if transfused). **I don’t know** of an established disease-specific therapy; management should be individualized with a metabolic specialist.",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.11282051282051282,0.20512820512820512,0.184,0.016129032258064516,0.8106787800788879,What are the treatments for phosphoglycerate kinase deficiency ?
