id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"**Symptoms of Minicore myopathy with external ophthalmoplegia** (also known as multiminicore disease with ophthalmoplegia) typically include: - **Progressive external ophthalmoplegia** — weakness or paralysis of the eye muscles, causing limited eye movements, often with ptosis (drooping eyelids). - **Generalized muscle weakness** — especially in the neck, trunk, and proximal limbs; may be present from infancy or childhood. - **Axial muscle weakness** — leading to poor head control, scoliosis, or rigid spine. - **Respiratory muscle involvement** — breathing difficulties that can range from mild to severe, sometimes requiring ventilatory support. - **Delayed motor milestones** — infants may have hypotonia and trouble sitting or walking. - **Mild facial weakness** and feeding difficulties in some cases. The condition is usually non-progressive or slowly progressive. Cardiac involvement is rare. Severity varies widely; some patients remain ambulatory, while others develop significant respiratory insufficiency. Diagnosis is confirmed by muscle biopsy showing multiple minicores and genetic testing (commonly *RYR1* or *SEPN1* mutations). **Note:** Consult a neuromuscular specialist for individualized evaluation.","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.12424849699398799,0.24448897795591185,0.3987730061349693,0.05555555555555555,0.8197002410888672,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"**Fish-eye disease** (also called **partial LCAT deficiency**) is a rare genetic disorder caused by mutations in the *LCAT* gene, which encodes the enzyme lecithin-cholesterol acyltransferase. ### Key Features: - **Partial LCAT deficiency**: The enzyme is partially functional (unlike complete LCAT deficiency, also called Norum disease). - **Main symptom**: Progressive **corneal opacification** — the cornea becomes cloudy with numerous small, gray-white dots, giving the eyes a “fish-eye” appearance. This usually begins in childhood or adolescence and can impair vision. - **Lipid profile**: Very low HDL cholesterol, elevated triglycerides, and accumulation of unesterified cholesterol in tissues. - **Kidneys and blood vessels**: Usually spared or only mildly affected (in contrast to complete LCAT deficiency, which often causes kidney failure). It is inherited in an **autosomal recessive** pattern. Treatment is mainly supportive (e.g., corneal transplantation in severe cases). No cure currently exists. **Note**: The name comes solely from the distinctive eye appearance; patients do not actually have “fish eyes.”","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.1422924901185771,0.2845849802371542,0.2967741935483871,0.045454545454545456,0.8411704301834106,What is (are) fish-eye disease ?
0000388-2,"**Friedreich ataxia affects approximately 1 in 20,000 to 1 in 50,000 people** in populations of European descent. - Prevalence is roughly **1 in 29,000** in Western European populations. - It is the most common inherited ataxia in this group. - The condition is much rarer in people of Asian, African, or Native American ancestry. This equates to an estimated **3,000–5,000** diagnosed individuals in the United States and a similar number across Europe. Symptoms usually begin in childhood or adolescence.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.2162162162162162,0.2882882882882883,0.34177215189873417,0.0641025641025641,0.895143985748291,How many people are affected by Friedreich ataxia ?
0000013-16,"**Creating a Family Health History** is the process of collecting and recording health information about you and your close relatives to identify patterns of inherited diseases or conditions. ### Why It Matters It helps reveal genetic risks for conditions such as: - Heart disease - Diabetes - Cancer - Stroke - High blood pressure - Certain genetic disorders ### What to Include - **Immediate family**: Parents, siblings, children - **Extended family**: Grandparents, aunts, uncles, cousins - Key details for each person: - Major medical conditions and age at diagnosis - Age at death and cause of death - Ethnic background - Pregnancy complications or birth defects ### How to Create One 1. Talk to relatives and ask specific questions about their health. 2. Use free tools like the CDC’s “My Family Health Portrait” or the Surgeon General’s “My Family Health History” app. 3. Update it regularly and share it with your doctor. A well-documented family health history allows your healthcare provider to recommend earlier screenings, genetic counseling, or preventive measures tailored to your risks. Would you like a simple template or guidance on how to gather this information from family members?","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.147239263803681,0.3190184049079755,0.3612565445026178,0.03684210526315789,0.8351442217826843,What is (are) Creating a Family Health History ?
0000858-5,"**There is no cure for RAPADILINO syndrome.** Treatment is symptomatic and supportive, tailored to the individual’s specific features. **Main treatments include:** - **Surgical correction** — for radial ray defects, cleft palate, or other structural anomalies (often performed in infancy/childhood). - **Orthopedic management** — limb braces, physical therapy, or surgery for joint dislocations and skeletal issues. - **Hearing support** — hearing aids or cochlear implants if hearing loss is present. - **Nutritional/gastrointestinal care** — feeding therapy or surgery for esophageal atresia or imperforate anus. - **Developmental support** — early intervention, speech therapy, occupational therapy, and educational support for short stature and mild intellectual disability. - **Regular monitoring** — for increased risk of certain cancers (e.g., lymphoma, osteosarcoma) and other complications. Management is best provided by a multidisciplinary team (geneticist, orthopedist, ENT, speech therapist, etc.). Genetic counseling is recommended for families. **Note:** RAPADILINO syndrome is very rare; care is individualized based on the specific manifestations.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.13,0.21,0.1895424836601307,0.013157894736842105,0.8197041153907776,What are the treatments for RAPADILINO syndrome ?
0000883-1,"**Buschke-Ollendorff syndrome (BOS)** is a rare autosomal dominant genetic disorder characterized by the association of: - **Connective tissue nevi** (also called dermatofibrosis lenticularis disseminata): yellowish or skin-colored papules and plaques, usually on the trunk, buttocks, and extremities. - **Osteopoikilosis**: benign, sclerotic bone lesions (small, round or oval spots of increased bone density), typically found in the epiphyses and metaphyses of long bones, pelvis, and hands. These are usually asymptomatic and discovered incidentally on X-rays. ### Key Facts: - Caused by loss-of-function mutations in the **LEMD3** gene (also known as MAN1). - Most patients are asymptomatic; the main issues are cosmetic (skin lesions) or incidental radiographic findings. - Osteopoikilosis must be distinguished from osteoblastic metastases. - Rarely, it can be associated with joint contractures or other skeletal abnormalities. Diagnosis is confirmed by clinical findings, characteristic X-ray appearance, skin biopsy, and genetic testing. **Note**: It is a benign condition with an excellent prognosis.","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.17161716171617164,0.29702970297029707,0.3708609271523179,0.09333333333333334,0.8470469117164612,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"**Problems with Taste** (dysgeusia) refer to changes or loss of the ability to taste foods and drinks. Common types include: - **Ageusia**: Complete loss of taste - **Hypogeusia**: Reduced ability to taste - **Hypergeusia**: Heightened sensitivity to taste - **Dysgeusia**: Distorted or unpleasant taste (e.g., metallic, bitter, or salty) ### Common Causes - Viral infections (especially COVID-19, flu, colds) - Medications (antibiotics, chemotherapy, blood pressure drugs) - Smoking or tobacco use - Head or facial injury - Dental problems or oral infections - Nutritional deficiencies (zinc, vitamin B12) - Neurological conditions (Parkinson’s, Alzheimer’s, Bell’s palsy) - Radiation therapy to head/neck - Aging (taste buds naturally decline after age 60) Most cases are temporary and improve when the underlying cause is treated. Persistent taste problems should be evaluated by an ENT specialist or neurologist. **When to see a doctor**: If taste loss lasts >2 weeks, occurs with other neurological symptoms, or significantly affects nutrition and weight.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.1141304347826087,0.19565217391304346,0.3225806451612903,0.032467532467532464,0.8021222352981567,What is (are) Problems with Taste ?
0000770-3,"**Pantothenate kinase-associated neurodegeneration (PKAN)** is caused by biallelic pathogenic variants in the *PANK2* gene on chromosome 20p13. **Key genetic changes:** - **Most common**: Missense, nonsense, frameshift, and splice-site variants. - **Classic mutation**: Homozygous or compound heterozygous c.1561G>A (p.Gly521Arg) in many populations. - **Common deletion**: Exon 3 deletion (often founder mutation in certain groups). - Over 200 different pathogenic *PANK2* variants have been identified. These mutations lead to deficient pantothenate kinase 2 enzyme activity, impairing coenzyme A biosynthesis and causing iron accumulation in the basal ganglia (especially the globus pallidus), resulting in the characteristic ""eye-of-the-tiger"" sign on MRI. **Inheritance**: Autosomal recessive. Carrier testing and prenatal diagnosis are possible when variants are known. *Note*: Molecular genetic testing (sequence analysis and deletion/duplication analysis of *PANK2*) confirms the diagnosis in nearly all cases.","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.13548387096774195,0.21290322580645163,0.2558139534883721,0.0546875,0.8357140421867371,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"**Symptoms of Alagille Syndrome** Alagille syndrome is a genetic disorder primarily affecting the liver, heart, and other systems. The most common symptoms include: - **Chronic cholestasis**: Jaundice (yellowing of skin/eyes), intense itching (pruritus), pale stools, and dark urine, often appearing in infancy. - **Characteristic facial features**: Broad forehead, deep-set eyes, pointed chin, and straight nose (triangular face). - **Heart defects**: Typically pulmonary artery stenosis or other right-sided heart abnormalities; a heart murmur is common. - **Skeletal abnormalities**: Butterfly vertebrae (seen on X-ray), short stature. - **Eye findings**: Posterior embryotoxon (visible on slit-lamp exam). - **Other**: Poor growth, developmental delays, kidney problems, and vascular anomalies (e.g., intracranial bleeding risk). Severity varies widely. Many infants need nutritional support and medications for itching and bile flow. Early diagnosis is important for managing complications.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.07251461988304093,0.13333333333333333,0.46153846153846156,0.10852713178294573,0.8210372924804688,What are the symptoms of Alagille Syndrome ?
0000794-5,"**Treatments for phosphoglycerate kinase (PGK) deficiency** are primarily supportive, as no disease-specific therapy or enzyme replacement is currently available. **Main approaches include:** - **Management of hemolytic anemia**: Regular blood transfusions, folic acid supplementation, and monitoring for iron overload. - **Seizure control**: Standard anticonvulsant medications tailored to seizure type. - **Neurological support**: Physical, occupational, and speech therapy for intellectual disability, movement disorders, or muscle weakness. - **Exercise intolerance and myopathy**: Avoidance of intense exercise; some patients benefit from mild aerobic conditioning and hydration. - **Acute rhabdomyolysis episodes**: Aggressive IV hydration, urine alkalinization, and monitoring of renal function. Experimental options such as **hematopoietic stem cell transplantation** have been attempted in severe cases with mixed results. Gene therapy is under investigation but remains preclinical. **Prognosis** varies widely; multidisciplinary care (hematology, neurology, physiatry) is essential. Genetic counseling is recommended for families. *Always consult a metabolic specialist for individualized management.*",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.12093023255813952,0.18604651162790697,0.1793103448275862,0.013888888888888888,0.8150990009307861,What are the treatments for phosphoglycerate kinase deficiency ?
