id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"Minicore myopathy with external ophthalmoplegia is a rare genetic muscle disorder. Key symptoms include: - **Muscle weakness**, primarily in the limbs (proximal muscles like shoulders and hips) - **External ophthalmoplegia** (weakness or paralysis of eye muscles, leading to drooping eyelids and limited eye movement) - **Respiratory issues** (in severe cases, due to weakness in chest muscles) - **Fatigue** and exercise intolerance - **Scoliosis** (curvature of the spine) in some cases Symptoms vary in severity. Diagnosis typically involves muscle biopsy, genetic testing, and clinical evaluation. If you suspect this condition, consult a neurologist or genetic specialist.","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.09744779582366589,0.18097447795823665,0.4105263157894737,0.05319148936170213,0.8161311149597168,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"Fish-eye disease, also known as LCAT deficiency, is a rare genetic disorder affecting cholesterol metabolism. It's caused by a deficiency in the enzyme lecithin-cholesterol acyltransferase (LCAT), which is crucial for converting cholesterol into a form that can be transported in the blood. In this condition, cholesterol builds up in the cornea of the eye, leading to a cloudy appearance resembling fish eyes. Other symptoms may include anemia, kidney problems, and premature atherosclerosis. Diagnosis is typically confirmed through blood tests showing low LCAT activity and genetic testing. Treatment focuses on managing symptoms and complications, as there's no specific cure. Regular monitoring by a healthcare provider is essential. If you suspect you have this condition, consult a doctor for proper evaluation and advice.","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.18264840182648404,0.2648401826484018,0.32231404958677684,0.075,0.853774905204773,What is (are) fish-eye disease ?
0000388-2,"Friedreich ataxia (FRDA) is a rare genetic disorder. Its prevalence is estimated at about 1 in 50,000 people in the general population. This means that approximately 2 to 4 people per 100,000 are affected by FRDA. The condition is more common in certain populations, such as those of European descent, but it can affect individuals of any ethnic background. Due to its rarity, exact numbers can vary by region and are often based on estimates from genetic studies and registries.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.21428571428571425,0.30357142857142855,0.2375,0.05063291139240506,0.89956134557724,How many people are affected by Friedreich ataxia ?
0000013-16,"Creating a family health history involves documenting the medical conditions and health issues of your close relatives—parents, siblings, grandparents, aunts, uncles, and cousins. This helps identify patterns of hereditary diseases (e.g., heart disease, diabetes, cancer) and assess your personal risk. Key steps: 1. **Collect data**: Record ages, causes of death, and diagnoses. 2. **Note age of onset**: Early-onset conditions (e.g., breast cancer before 50) are more significant. 3. **Include lifestyle factors**: Smoking, diet, or alcohol use if relevant. 4. **Update regularly**: Share this history with your doctor to guide screenings or preventive care. A detailed family health history can highlight risks and inform early interventions. For personalized advice, consult a healthcare provider.","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.097165991902834,0.1862348178137652,0.3125,0.018018018018018018,0.8417847752571106,What is (are) Creating a Family Health History ?
0000858-5,"RAPADILINO syndrome is a rare genetic disorder caused by mutations in the RECQL4 gene. Treatment focuses on managing symptoms and may include: 1. **Orthopedic care**: For skeletal abnormalities like radial ray defects or patellar dislocations, surgery or physical therapy may be needed. 2. **Dental care**: Regular dental check-ups to address enamel hypoplasia or other dental issues. 3. **Skin monitoring**: Protection from sun exposure due to increased skin cancer risk. 4. **Growth hormone therapy**: In some cases, to address growth delays. 5. **Multidisciplinary approach**: Regular follow-ups with specialists (e.g., orthopedists, dentists, endocrinologists) for comprehensive care. There is no cure for RAPADILINO syndrome, as it is a genetic condition. Management is lifelong and tailored to individual needs.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.07407407407407406,0.1728395061728395,0.14782608695652175,0.008771929824561403,0.8259413242340088,What are the treatments for RAPADILINO syndrome ?
0000883-1,"Buschke-Ollendorff syndrome (BOS) is a rare, inherited connective tissue disorder. It's characterized by: 1. **Dermatofibrosis lenticularis disseminata**: Small, benign, yellowish or flesh-colored bumps (papules or nodules) on the skin, typically on the trunk, arms, and legs. 2. **Osteopoikilosis**: Multiple, small, benign bone lesions (sclerotic areas) visible on X-rays, often in the hands, feet, pelvis, and around joints. BOS is caused by mutations in the *LEMD3* gene and is usually asymptomatic, though some patients may experience joint pain or stiffness. Diagnosis is typically made through clinical examination, skin biopsy, and X-rays. Management is usually not required unless symptoms arise, in which case treatment is symptomatic. It's important to note that BOS is not associated with an increased risk of cancer.","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.16974169741697417,0.3025830258302583,0.40336134453781514,0.1016949152542373,0.8590486645698547,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"Problems with taste, or **dysgeusia**, can involve: - **Loss of taste (ageusia)** – inability to detect flavors. - **Reduced taste (hypogeusia)** – diminished sensitivity. - **Distorted taste (parageusia)** – unpleasant or altered perceptions (e.g., metallic, bitter, or sour tastes). **Common causes:** - **Oral health issues** (gingivitis, dry mouth, infections). - **Medications** (antibiotics, chemotherapy, blood pressure drugs). - **Nutritional deficiencies** (zinc, vitamin B12). - **Neurological conditions** (Bell’s palsy, MS, nerve damage). - **Upper respiratory infections** (colds, sinusitis). - **Smoking, aging, or radiation therapy**. **When to see a doctor:** If taste changes persist, worsen, or affect nutrition/quality of life. Diagnosis may involve reviewing medications, checking oral health, or testing for underlying conditions.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.11145510835913314,0.14860681114551083,0.2727272727272727,0.009174311926605505,0.7994604110717773,What is (are) Problems with Taste ?
0000770-3,"Pantothenate kinase-associated neurodegeneration (PKAN), formerly known as Hallervorden-Spatz syndrome, is primarily associated with mutations in the **PANK2** gene, located on chromosome 20p13. This gene encodes the enzyme **pantothenate kinase 2**, which is crucial for coenzyme A biosynthesis. The most common mutations are **missense mutations**, but **nonsense mutations, deletions, insertions, and splice-site mutations** have also been reported. These mutations lead to a loss of PANK2 function, resulting in iron accumulation in the brain, particularly in the **globus pallidus** and **substantia nigra**, which contributes to neurodegeneration. PKAN follows an **autosomal recessive** inheritance pattern, meaning an individual must inherit two mutated copies of the PANK2 gene (one from each parent) to develop the disease.","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.1643835616438356,0.2876712328767123,0.38738738738738737,0.08181818181818182,0.8549627065658569,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"Alagille syndrome is a genetic disorder affecting the liver, heart, and other organs. Common symptoms include: - **Jaundice** (yellowing of skin/eyes) in infancy - **Itchy skin** (pruritus) - **Pale, foul-smelling stools** (due to poor bile flow) - **Dark urine** - **Poor growth** or failure to thrive - **Heart murmurs** (due to structural heart defects) - **Butterfly-like vertebrae** (visible on X-ray) - **Distinctive facial features** (deep-set eyes, broad forehead) Liver complications (e.g., cholestasis, cirrhosis) may develop over time. Severity varies widely. If you suspect Alagille syndrome, consult a specialist (e.g., hepatologist or geneticist) for evaluation.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.05616605616605617,0.07814407814407814,0.39361702127659576,0.06451612903225806,0.8197397589683533,What are the symptoms of Alagille Syndrome ?
0000794-5,"Phosphoglycerate kinase (PGK) deficiency is a rare genetic disorder affecting red blood cells and, in some cases, muscles or the brain. Treatment focuses on managing symptoms and may include: 1. **Blood Transfusions**: For severe anemia to maintain adequate oxygen delivery. 2. **Splenectomy**: Removal of the spleen may be considered in cases of severe hemolytic anemia. 3. **Iron Chelation Therapy**: If frequent transfusions lead to iron overload. 4. **Folic Acid Supplementation**: To support red blood cell production. 5. **Avoiding Triggers**: Such as certain medications or infections that can worsen hemolysis. 6. **Supportive Care**: For muscle or neurological symptoms, such as physical therapy or medications for muscle weakness or seizures. There is no cure for PGK deficiency, and treatment is individualized based on symptoms. Consult a hematologist or genetic specialist for personalized care.",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.09950248756218905,0.12935323383084577,0.13740458015267176,0.007692307692307693,0.8218894004821777,What are the treatments for phosphoglycerate kinase deficiency ?
