id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"Minicore myopathy with external ophthalmoplegia is a rare congenital myopathy. Key symptoms include: 1. **Muscle Weakness**: Generalized, often more pronounced in proximal muscles (shoulders, hips). May cause difficulty with tasks like climbing stairs or lifting objects. 2. **External Ophthalmoplegia**: Weakness or paralysis of the eye muscles, leading to limited eye movement, drooping eyelids (ptosis), or crossed eyes (strabismus). 3. **Respiratory Involvement**: Weakness in respiratory muscles may cause breathing difficulties, especially in severe cases. 4. **Skeletal Abnormalities**: Some patients have scoliosis or joint contractures (stiffness). 5. **Delayed Motor Milestones**: Infants may have delayed sitting, standing, or walking. Symptoms vary in severity. Diagnosis requires clinical evaluation, muscle biopsy, and genetic testing. Consult a neurologist or geneticist for personalized information.","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.08830022075055187,0.17660044150110374,0.358974358974359,0.04310344827586207,0.8145986795425415,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"Fish-eye disease is a rare genetic disorder affecting lipid metabolism. It's caused by mutations in the **LCAT gene**, which impairs the enzyme **lecithin-cholesterol acyltransferase (LCAT)**. This enzyme helps convert cholesterol into a form that can be transported in the blood. Key features include: - **Corneal opacities** (clouding of the eye's cornea, resembling a fish's eye). - **Low HDL (""good"" cholesterol)** levels. - **Normal or elevated LDL (""bad"" cholesterol)**. Unlike complete LCAT deficiency, fish-eye disease typically does **not** cause kidney disease or anemia. Symptoms are usually limited to vision problems due to corneal clouding, which may require a corneal transplant in severe cases. Diagnosis involves genetic testing and lipid profile analysis. Management focuses on monitoring and treating associated cardiovascular risks. I don’t know of specific treatments to restore LCAT function.","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.16740088105726872,0.24669603524229072,0.2868217054263566,0.0546875,0.8469110727310181,What is (are) fish-eye disease ?
0000388-2,"Friedreich ataxia (FA) is a rare genetic disorder. It affects approximately **1 in 40,000 to 50,000 people** worldwide. The condition is most common in people of **European, Middle Eastern, North African, and Indian** descent. Both males and females are equally affected since it is an **autosomal recessive** disorder, meaning a child must inherit two copies of the mutated gene (one from each parent) to develop FA. For the most current and region-specific data, consulting resources like the **National Organization for Rare Disorders (NORD)** or **Friedreich’s Ataxia Research Alliance (FARA)** is recommended. Would you like help finding additional resources?","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.2153846153846154,0.24615384615384614,0.20408163265306123,0.061855670103092786,0.8814067840576172,How many people are affected by Friedreich ataxia ?
0000013-16,"Creating a family health history involves gathering information about diseases and health conditions that run in your family. It typically includes: 1. **Key Details**: Ages, major illnesses, causes of death, and ethnic backgrounds of close relatives (parents, siblings, grandparents, aunts, uncles, cousins). 2. **Patterns**: Noting if certain conditions (e.g., heart disease, diabetes, cancer) appear frequently or at early ages. 3. **Purpose**: Helps healthcare providers assess your risk for inherited conditions and recommend preventive measures or screenings. To create one: - Talk to relatives. - Record ages of diagnosis for illnesses. - Update it regularly. The U.S. Surgeon General’s *My Family Health Portrait* tool (https://familyhistory.hhs.gov) can help organize this information. It’s a simple but powerful tool for proactive healthcare.","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.12648221343873517,0.23715415019762845,0.3050847457627119,0.042735042735042736,0.839827835559845,What is (are) Creating a Family Health History ?
0000858-5,"RAPADILINO syndrome is a rare genetic disorder caused by mutations in the *RECQL4* gene. Treatment focuses on managing symptoms and improving quality of life, as there's no cure. Key approaches include: 1. **Orthopedic Care**: Regular monitoring and interventions (e.g., bracing, surgery) for skeletal abnormalities like radial ray defects or patellar hypoplasia. 2. **Growth Support**: Growth hormone therapy may be considered for short stature, though efficacy varies. 3. **Cancer Surveillance**: Increased risk of osteosarcoma and lymphoma necessitates regular screenings (e.g., imaging, blood tests). 4. **Physical/Occupational Therapy**: To address joint contractures or mobility issues. 5. **Multidisciplinary Care**: Involves geneticists, orthopedists, oncologists, and other specialists. Early intervention and tailored plans are critical. Consult a geneticist or rare disease specialist for personalized guidance. *I don’t know* the specifics of emerging therapies.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.08045977011494251,0.13793103448275862,0.14173228346456693,0.007936507936507936,0.8184903860092163,What are the treatments for RAPADILINO syndrome ?
0000883-1,"Buschke-Ollendorff syndrome is a rare, inherited connective tissue disorder. It's characterized by two main features: 1. **Dermatofibrosis lenticularis disseminata**: Small, firm, skin-colored or yellowish bumps (papules) or larger plaques, typically on the lower trunk, buttocks, and limbs. 2. **Osteopoikilosis**: Harmless, spotty areas of increased bone density visible on X-rays, often in the hands, feet, pelvis, and long bones. It's caused by mutations in the *LEMD3* gene and is inherited in an autosomal dominant pattern. The condition is usually benign, with no serious health complications, but may be associated with mild joint stiffness or pain. Management focuses on symptom relief if needed. Consult a dermatologist or geneticist for evaluation and advice.","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.18320610687022898,0.30534351145038163,0.41818181818181815,0.12844036697247707,0.8552993535995483,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"Problems with taste, or **dysgeusia**, can include: 1. **Loss of taste (ageusia)** – Inability to detect any tastes. 2. **Reduced taste (hypogeusia)** – Diminished ability to taste. 3. **Distorted taste (parageusia)** – Unpleasant or altered taste perceptions (e.g., metallic, bitter). **Common causes:** - **Infections** (e.g., colds, COVID-19, sinusitis). - **Medications** (e.g., antibiotics, chemotherapy, blood pressure drugs). - **Nutritional deficiencies** (e.g., zinc, vitamin B12). - **Aging** (natural decline in taste buds). - **Nerve damage** (e.g., head injury, dental procedures). - **Smoking** or poor oral hygiene. - **Medical conditions** (e.g., diabetes, liver/kidney disease, hypothyroidism). If symptoms persist, consult a doctor to identify the underlying cause. Treatment depends on the diagnosis.",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.09968847352024922,0.16199376947040497,0.25,0.028037383177570093,0.7937105298042297,What is (are) Problems with Taste ?
0000770-3,"Pantothenate kinase-associated neurodegeneration (PKAN) is primarily caused by mutations in the **PANK2 gene** (chromosome 20p13). This gene encodes the enzyme pantothenate kinase 2, which is crucial for coenzyme A (CoA) synthesis. **Key genetic changes include:** - **Missense mutations** (most common): Alter amino acids, reducing enzyme activity. - **Nonsense mutations**: Introduce premature stop codons, leading to truncated, nonfunctional proteins. - **Frameshift mutations**: Disrupt the reading frame, often resulting in loss of function. - **Splice-site mutations**: Affect mRNA processing, impairing protein production. These mutations impair CoA production, causing iron accumulation in the brain (especially the globus pallidus) and neurodegeneration. PKAN is inherited in an **autosomal recessive** pattern, meaning two mutated copies of PANK2 are required for disease manifestation. For precise diagnosis, genetic testing is recommended.","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.14473684210526316,0.24342105263157898,0.3252032520325203,0.04918032786885246,0.8561285138130188,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"Alagille Syndrome is a genetic disorder that primarily affects the liver, heart, and other body systems. Common symptoms include: 1. **Liver problems**: Jaundice (yellowing of skin and eyes), itchy skin, and pale, loose stools due to bile duct paucity. 2. **Heart issues**: Heart murmurs, often due to pulmonary artery stenosis or other congenital heart defects. 3. **Distinctive facial features**: Broad forehead, deep-set eyes, pointed chin, and a straight nose. 4. **Eye abnormalities**: Posterior embryotoxon (a ring in the cornea) is common. 5. **Skeletal abnormalities**: Butterfly vertebrae (abnormally shaped spinal bones). 6. **Growth delays**: Poor growth or failure to thrive in childhood. 7. **Kidney and vascular issues**: Less common but possible. Symptoms vary widely in severity. If you suspect Alagille Syndrome, consult a healthcare provider for evaluation. Early diagnosis and management are important.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.08868144690781797,0.12602100350058343,0.4166666666666667,0.11450381679389313,0.8271514773368835,What are the symptoms of Alagille Syndrome ?
0000794-5,"Phosphoglycerate kinase (PGK) deficiency is a rare genetic disorder. Treatment focuses on managing symptoms and may include: 1. **Blood transfusions** – For severe hemolytic anemia. 2. **Splenectomy** – In some cases to reduce red blood cell destruction. 3. **Physical therapy** – To address muscle weakness or exercise intolerance. 4. **Neurological support** – For seizures or developmental delays, if present. 5. **Avoiding triggers** – Such as infections or oxidative stress (e.g., certain drugs). There is no cure, and treatment is tailored to the individual’s symptoms. Genetic counseling may be recommended for affected families. Always consult a hematologist or metabolic specialist for personalized care.",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.09302325581395349,0.13953488372093026,0.14705882352941177,0.019801980198019802,0.8287562727928162,What are the treatments for phosphoglycerate kinase deficiency ?
